asset_number,asset_description,manufacturer,model_number,serial_number,facility,department,purchase_date,install_date,support_end_date,operating_system,ip_address,mac_address,device_status,replacement_cost,risk_score
ASSET-003262,Patient Monitors,Mortara,MOR-9964,JL-93439690,Wood River,OB/GYN,2016-02-24,2016-03-24,2026-01-08,VxWorks,192.168.49.59,cd:24:56:cd:00:e6,Active,363789.35,95.6
ASSET-003263,Surgical Lights,Brüel & Kjaer,BRÜ-5786,HL-39252878,Eagle,OB/GYN,2021-10-01,2021-12-22,2028-04-03,Windows 11,192.168.188.213,1f:8a:89:ce:01:02,Active,289681.0,55.81
ASSET-003264,Cardiac Devices,Boston Scientific,BOS-4533,RH-73381330,McCall,OB/GYN,2017-01-06,2017-03-10,2032-01-26,VxWorks,192.168.126.136,,Active,385579.89,61.07
ASSET-003265,Patient Monitors,Philips,PHI-2611,KD-45330236,Meridian,ICU (Intensive Care),2021-08-01,2021-09-15,2028-02-02,Windows 11,,96:55:7e:da:bd:6b,Retired,242084.19,58.73
ASSET-003266,Ventilators,VELA,VEL-3937,MG-22474098,Eagle,Cardiac Care,2017-05-19,2017-05-30,2027-09-11,,192.168.130.158,cf:a5:ad:82:e1:72,Active,485705.07,84.37
ASSET-003267,Infusion Pumps,B. Braun,B. -2948,CN-72033505,Nampa,Recovery,2017-05-06,2017-06-24,2026-09-28,Custom OS,192.168.217.6,d7:40:69:4a:3c:f9,Active,143139.26,99.26
ASSET-003268,Anesthesia Machines,Drager,DRA-6154,CM-02325107,Fruitland,OR (Operating Room),2020-06-15,2020-06-20,2028-11-28,Custom OS,192.168.183.101,3f:41:8c:8c:04:8f,Loaner,74973.46,50.32
ASSET-003269,Anesthesia Machines,Drager,DRA-6418,JE-55870940,Twin Falls,ICU (Intensive Care),2015-09-26,2015-11-03,2026-10-15,Embedded Linux,192.168.76.36,75:6b:3e:67:50:b6,Active,94780.96,100.0
ASSET-003270,Infusion Pumps,Hospira,HOS-6088,FM-24564119,Boise,Emergency,2020-02-14,2020-05-10,2030-08-15,,192.168.18.104,d7:70:8e:d5:2c:eb,Retired,201017.84,50.48
ASSET-003271,Anesthesia Machines,Philips,PHI-6423,SC-51253807,Elmore,Imaging (Radiology),2015-08-11,2015-10-11,2026-11-25,,192.168.174.52,,Retired,426937.83,100.0
ASSET-003272,Patient Monitors,Spacelabs,SPA-7845,JC-91350534,Magic Valley,ICU (Intensive Care),2022-05-26,2022-07-30,2026-12-14,Windows 11,192.168.221.38,5c:eb:4d:b2:d6:e8,Active,151897.53,69.98
ASSET-003273,Defibrillators,Stryker,STR-5816,DN-97157557,Elmore,ICU (Intensive Care),2021-11-09,2022-01-08,2029-07-01,,192.168.28.85,bc:8d:35:bf:e8:db,Active,134187.76,36.52
ASSET-003274,Ultrasound,Siemens,SIE-9965,AP-63282463,Nampa,OR (Operating Room),2022-09-17,2022-11-11,2032-04-22,Windows 11,,4c:3d:72:4f:d6:fc,Active,331520.75,39.98
ASSET-003275,Dialysis,Gambro,GAM-7357,LE-16218563,Boise,OB/GYN,2018-10-10,2018-12-13,2029-09-20,Windows Server 2019,192.168.189.132,32:83:07:90:bb:25,Active,297971.85,61.99
ASSET-003276,Dehumidifiers,Carel,CAR-9232,EB-00761504,North Canyon,Cardiac Care,2020-01-12,2020-02-13,2031-03-08,Windows 10,192.168.107.143,dd:74:e3:91:09:c3,Active,360732.02,48.25
ASSET-003277,CT Scanners,Siemens,SIE-2096,QQ-59868569,McCall,Recovery,2017-05-18,2017-08-05,2030-06-09,Windows 11,192.168.131.233,,Active,344748.78,62.17
ASSET-003278,Microscopes,Zeiss,ZEI-5607,BD-14336080,Eagle,Med/Surg,2021-01-24,2021-04-23,2028-12-14,,,,Active,245150.34,41.95
ASSET-003279,Ventilators,Drager,DRA-7469,ER-01461039,Twin Falls,OR (Operating Room),2016-10-21,2016-11-01,2031-12-01,VxWorks,192.168.76.131,0b:52:2c:3e:87:0e,Retired,47659.8,68.13
ASSET-003280,Defibrillators,Zoll,ZOL-9569,BJ-88881893,Magic Valley,Lab,2022-01-27,2022-03-06,2029-06-14,,192.168.122.121,cf:23:70:4c:fc:ae,Retired,161898.09,39.27
ASSET-003281,CT Scanners,Siemens,SIE-7648,SR-61638816,Twin Falls,Lab,2022-10-22,2022-12-25,2030-10-16,,192.168.78.34,eb:2e:3c:d4:88:aa,Active,461535.44,43.55
ASSET-003282,Surgical Lights,Daray,DAR-5815,MB-85185690,Wood River,Emergency,2015-06-23,2015-07-21,2029-11-22,,192.168.156.15,ac:3d:21:82:39:05,Active,278426.27,77.34
ASSET-003283,MRI,Canon,CAN-1283,RF-96568826,McCall,OB/GYN,2019-08-04,2019-08-30,2030-07-27,Embedded Linux,,24:66:f1:02:61:89,Active,114503.56,51.09
ASSET-003284,Microscopes,Nikon,NIK-9118,TD-80072720,Boise,Recovery,2020-02-10,2020-04-23,2029-08-10,Windows 11,192.168.125.65,d4:0f:e8:7a:2e:b8,Active,138425.53,54.28
ASSET-003285,Microscopes,Nikon,NIK-6939,KA-47237356,Eagle,Med/Surg,2016-03-18,2016-06-07,2030-05-02,,192.168.204.172,43:e2:94:13:c1:9f,Active,408607.62,70.33
ASSET-003286,Ultrasound,Sonosite,SON-2337,QS-78308306,Wood River,Med/Surg,2015-08-23,2015-09-17,2031-08-23,,192.168.128.151,61:49:05:b7:17:0f,Loaner,390535.78,75.94
ASSET-003287,MRI,Philips,PHI-8016,TG-99951454,Elmore,OR (Operating Room),2022-06-09,2022-07-24,2027-11-06,Windows 11,,80:62:98:e3:44:da,Active,332723.25,51.57
ASSET-003288,Ventilators,Puritan Bennett,PUR-6911,BP-67146749,North Canyon,Med/Surg,2016-12-26,2017-02-22,2032-09-12,,192.168.183.29,46:dd:88:07:80:2b,Active,188670.91,63.07
ASSET-003289,Patient Monitors,GE Healthcare,GE -1549,LR-68867518,Magic Valley,Cardiac Care,2020-09-23,2020-10-30,2030-12-09,VxWorks,192.168.76.64,df:d2:d7:97:fc:13,Active,344513.72,45.97
ASSET-003290,Infusion Pumps,Medtronic,MED-1758,MN-11645605,Eagle,OB/GYN,2020-08-23,2020-08-30,2027-04-01,,192.168.40.169,f5:a3:51:fc:44:88,Active,20461.64,79.16
ASSET-003291,Lighting Systems,Brüel & Kjaer,BRÜ-2201,EA-34318073,Fruitland,ICU (Intensive Care),2022-02-28,2022-03-16,2028-02-08,,192.168.38.60,23:68:40:13:0a:17,Active,302019.61,56.08
ASSET-003292,Vital Signs Monitors,Edan,EDA-5140,HR-02585653,North Canyon,Emergency,2015-04-07,2015-05-10,2028-08-15,QNX,192.168.248.73,59:5d:c6:b2:d9:59,Active,314168.28,94.99
ASSET-003293,Infusion Pumps,Hospira,HOS-1919,TR-77303167,Nampa,Neuro,2023-03-26,2023-04-23,2029-05-07,Custom OS,192.168.27.19,23:af:2b:f6:a0:7b,Active,483047.11,36.42
ASSET-003294,Ultrasound,Sonosite,SON-7639,RE-19261548,Jerome,ICU (Intensive Care),2023-03-02,2023-04-07,2028-10-24,,192.168.247.107,,Active,324228.1,32.37
ASSET-003295,Surgical Lights,Brüel & Kjaer,BRÜ-6985,LL-01240254,Wood River,Med/Surg,2023-11-25,2024-01-19,2028-07-18,,,28:31:ba:3d:d6:d6,Active,160267.6,46.1
ASSET-003296,Microscopes,Zeiss,ZEI-3214,TG-00549080,Twin Falls,Med/Surg,2019-11-17,2020-02-10,2029-09-28,VxWorks,192.168.14.204,78:0b:79:55:5a:5c,Active,64822.55,54.57
ASSET-003297,Microscopes,Nikon,NIK-3460,EK-97673887,Magic Valley,Cardiac Care,2023-05-04,2023-07-02,2032-10-08,Custom OS,192.168.115.24,2f:b5:15:cc:9c:37,Active,230185.29,34.98
ASSET-003298,MRI,GE Healthcare,GE -8857,SH-61630343,Meridian,Cardiac Care,2023-08-02,2023-08-29,2031-09-23,Windows Server 2019,192.168.163.185,,Retired,333911.1,39.58
ASSET-003299,Infusion Pumps,Hospira,HOS-5627,FK-00091435,Meridian,Lab,2016-12-20,2017-01-12,2030-03-06,,192.168.192.127,,Active,412752.73,60.41
ASSET-003300,Defibrillators,Philips,PHI-6913,PL-93074179,Eagle,Med/Surg,2018-07-18,2018-10-16,2029-11-02,,192.168.162.219,,Active,301181.16,62.76
ASSET-003301,Ventilators,Puritan Bennett,PUR-1777,MD-46628973,Twin Falls,Emergency,2015-06-16,2015-07-14,2026-07-21,Windows 10,192.168.39.176,e2:4b:42:68:f4:0c,Active,51575.17,100.0
ASSET-003302,Vital Signs Monitors,Mindray,MIN-6512,LN-89622527,Jerome,Lab,2016-11-25,2017-01-19,2026-10-13,,192.168.194.11,60:68:04:fd:ec:57,Retired,368727.36,95.96
ASSET-003303,Anesthesia Machines,Mindray,MIN-6865,KB-00223023,Magic Valley,Imaging (Radiology),2023-03-27,2023-05-05,2029-11-23,Windows 10,192.168.84.118,bf:62:f4:4f:b1:34,Active,270238.0,34.21
ASSET-003304,Ventilators,Puritan Bennett,PUR-9985,MS-56771251,McCall,Emergency,2016-09-19,2016-11-06,2028-05-12,Windows Server 2019,192.168.212.226,bb:56:38:96:d2:3f,Active,358813.4,80.58
ASSET-003305,Cardiac Devices,Biotronik,BIO-5607,LC-90418280,Nampa,Imaging (Radiology),2018-05-04,2018-06-05,2026-03-14,Windows 11,192.168.188.138,6c:c0:a2:3a:b2:d3,Active,142188.78,91.92
ASSET-003306,Patient Monitors,Mindray,MIN-7618,ER-66608123,Eagle,ICU (Intensive Care),2022-04-19,2022-07-08,2032-02-16,,192.168.169.161,ad:ef:02:f7:e5:87,Active,90143.83,35.5
ASSET-003307,Dialysis,Baxter,BAX-7165,TN-88447909,Magic Valley,Recovery,2015-03-03,2015-04-25,2030-08-01,Windows 11,,d5:ec:38:f2:6f:45,Active,238219.07,74.91
ASSET-003308,Dehumidifiers,Condair,CON-8903,LT-36152769,Meridian,Emergency,2016-04-28,2016-05-26,2026-10-02,Embedded Linux,,d7:7d:fe:c0:5b:f6,Active,84562.24,100.0
ASSET-003309,Ventilators,Drager,DRA-2815,TE-44420224,Nampa,Cardiac Care,2016-07-21,2016-08-27,2032-08-20,,,83:7b:43:64:29:e5,Loaner,133930.75,70.39
ASSET-003310,Defibrillators,Medtronic,MED-2847,HQ-48863137,McCall,Imaging (Radiology),2015-04-04,2015-05-13,2032-11-17,,192.168.204.98,f1:9b:fa:7d:7a:ca,Active,314173.74,74.88
ASSET-003311,Lighting Systems,Steris,STE-5601,BE-14503118,North Canyon,OB/GYN,2023-06-13,2023-07-21,2029-04-27,,192.168.184.206,,Active,198473.72,38.49
ASSET-003312,Patient Monitors,GE Healthcare,GE -9482,PA-66914193,North Canyon,Imaging (Radiology),2020-02-14,2020-04-29,2026-04-23,Windows 10,192.168.251.246,5d:47:af:11:7a:82,Active,100425.64,78.28
ASSET-003313,Microscopes,Olympus,OLY-8617,DD-61047189,Meridian,Emergency,2016-06-06,2016-07-23,2030-09-24,Windows 10,,,Retired,12349.43,69.69
ASSET-003314,Patient Monitors,Edan,EDA-3862,RP-99256924,North Canyon,OB/GYN,2016-02-27,2016-03-13,2030-12-06,,192.168.156.140,1f:bc:47:fb:77:8f,Active,303116.55,74.64
ASSET-003315,Surgical Lights,Daray,DAR-9991,CJ-88341034,North Canyon,Neuro,2017-11-02,2018-01-12,2030-05-25,,192.168.233.203,60:30:dc:79:16:f7,Retired,416931.94,57.08
ASSET-003316,Defibrillators,Medtronic,MED-2184,KA-13181181,Nampa,Imaging (Radiology),2020-04-16,2020-06-09,2031-05-17,QNX,192.168.173.67,,Active,349627.77,53.59
ASSET-003317,Infusion Pumps,Hospira,HOS-1640,AK-51325179,Meridian,Emergency,2021-04-08,2021-06-22,2026-12-02,Embedded Linux,192.168.161.128,,Active,147445.82,72.04
ASSET-003318,Patient Monitors,Philips,PHI-9185,JB-47085609,Twin Falls,Imaging (Radiology),2018-03-18,2018-06-04,2027-12-02,Custom OS,,d6:98:8a:12:d0:67,Retired,73466.64,79.02
ASSET-003319,Dehumidifiers,Honeywell,HON-2925,CA-67148783,Elmore,Emergency,2017-12-18,2018-01-08,2027-10-14,Windows 11,192.168.97.154,d5:28:e8:a2:bc:95,Active,124997.79,70.32
ASSET-003320,Infusion Pumps,Hospira,HOS-4732,EE-31456457,Boise,OR (Operating Room),2016-01-24,2016-03-07,2030-10-24,Custom OS,192.168.207.66,,Active,397471.84,72.21
ASSET-003321,Infusion Pumps,Baxter,BAX-7342,AH-75794074,Meridian,Lab,2020-05-27,2020-07-16,2027-10-01,Custom OS,192.168.87.112,d6:3d:25:2f:58:96,Active,358017.82,60.05
ASSET-003322,Ventilators,GE Healthcare,GE -3248,QA-37449998,Twin Falls,ICU (Intensive Care),2022-06-01,2022-06-21,2027-11-15,VxWorks,192.168.68.90,b5:d3:5c:ef:b6:e1,Active,228243.05,54.64
ASSET-003323,Ventilators,Drager,DRA-9636,KC-93391369,Elmore,Med/Surg,2022-04-07,2022-06-03,2026-06-14,Windows 11,192.168.221.14,a1:21:c9:bd:b6:20,Active,237058.14,71.79
ASSET-003324,Defibrillators,Zoll,ZOL-4584,FP-26410603,Elmore,Emergency,2015-03-04,2015-04-13,2027-08-05,VxWorks,192.168.154.220,70:e2:46:4d:83:43,Active,102310.71,100.0
ASSET-003325,Cardiac Devices,Medtronic,MED-8192,NH-75318057,Meridian,Imaging (Radiology),2017-12-08,2017-12-12,2027-06-07,Windows 10,,4e:73:4b:91:8c:89,Retired,142670.24,99.1
ASSET-003326,Microscopes,Nikon,NIK-9912,KP-10108965,Jerome,Recovery,2015-06-11,2015-07-14,2029-01-12,Windows 11,,,Active,326197.21,72.54
ASSET-003327,Cardiac Devices,LivaNova,LIV-9503,AB-12536064,Elmore,Imaging (Radiology),2018-04-27,2018-05-15,2029-11-06,Custom OS,192.168.201.56,18:2b:d4:37:c0:57,Active,146882.49,64.94
ASSET-003328,Anesthesia Machines,Philips,PHI-9541,TN-47486794,Fruitland,Imaging (Radiology),2016-02-08,2016-05-02,2030-05-16,Windows 10,192.168.47.211,,Active,445432.72,66.97
ASSET-003329,Microscopes,Leica,LEI-9411,QA-98948481,Wood River,Imaging (Radiology),2020-06-08,2020-07-27,2028-12-26,,192.168.61.117,,Retired,280145.23,50.36
ASSET-003330,Dialysis,Baxter,BAX-1063,CQ-36100770,Magic Valley,Lab,2018-07-28,2018-08-01,2029-10-21,Windows 10,192.168.113.164,,Active,375930.3,63.79
ASSET-003331,Lighting Systems,Brüel & Kjaer,BRÜ-2621,GB-73759493,Boise,Emergency,2018-06-05,2018-06-19,2032-03-05,,192.168.34.41,38:d6:9f:8a:f3:2a,Active,118051.33,55.85
ASSET-003332,Surgical Lights,Berchtold,BER-9872,PB-78111719,Eagle,OR (Operating Room),2021-03-11,2021-04-08,2030-02-28,VxWorks,192.168.213.133,e7:c2:ff:f0:ed:25,Active,436141.88,48.6
ASSET-003333,Patient Monitors,Edan,EDA-3649,KC-04902144,Boise,Recovery,2021-03-12,2021-05-13,2027-07-20,Windows 11,192.168.145.170,cf:23:b7:4d:0d:2f,Active,10540.74,78.01
ASSET-003334,Dehumidifiers,Carel,CAR-9789,HS-55967433,Boise,Neuro,2017-08-08,2017-09-06,2030-08-25,QNX,,,Active,353243.28,68.87
ASSET-003335,MRI,Philips,PHI-8741,DR-49655239,Twin Falls,Neuro,2020-09-13,2020-11-19,2031-12-08,Windows Server 2019,192.168.225.80,ef:4f:61:80:34:81,Active,111793.01,54.8
ASSET-003336,Infusion Pumps,JMS,JMS-7903,FN-03353004,Elmore,Neuro,2021-03-04,2021-03-17,2028-06-20,VxWorks,192.168.192.45,fe:ee:55:66:90:4e,Active,45202.15,56.73
ASSET-003337,Dialysis,Nxstage,NXS-1318,HD-65361977,Boise,ICU (Intensive Care),2015-04-17,2015-04-19,2026-02-26,Windows Server 2019,192.168.75.104,66:1e:56:e4:74:ae,Active,315909.71,100.0
ASSET-003338,Anesthesia Machines,GE Healthcare,GE -4725,RE-73946248,North Canyon,Imaging (Radiology),2016-04-05,2016-06-12,2026-10-28,Custom OS,192.168.106.179,85:14:1d:a3:2e:a7,Active,287701.2,98.66
ASSET-003339,Patient Monitors,Mortara,MOR-6021,ER-38586539,North Canyon,Imaging (Radiology),2015-12-03,2015-12-28,2028-01-07,,192.168.44.139,ab:30:53:94:72:40,Active,435597.86,88.84
ASSET-003340,Surgical Lights,Daray,DAR-5816,GD-68714134,Eagle,Cardiac Care,2020-06-14,2020-08-29,2028-04-13,,192.168.63.32,f4:9d:7d:99:ef:f5,Active,150628.99,62.46
ASSET-003341,Ventilators,Puritan Bennett,PUR-7213,MT-79670605,Boise,Cardiac Care,2018-03-02,2018-05-24,2027-02-05,Custom OS,192.168.3.70,,Active,213359.89,88.5
ASSET-003342,Patient Monitors,GE Healthcare,GE -8571,DN-17357921,Nampa,Cardiac Care,2016-11-26,2017-01-23,2027-01-20,,192.168.42.124,32:f6:39:d6:93:4a,Active,362895.83,98.08
ASSET-003343,Defibrillators,Medtronic,MED-2191,MJ-25069893,Wood River,Recovery,2022-08-17,2022-09-26,2028-02-02,Windows 10,192.168.167.129,e3:27:22:c9:f4:85,Active,430161.37,54.54
ASSET-003344,MRI,Siemens,SIE-8657,AD-64639897,North Canyon,Recovery,2015-07-24,2015-09-11,2030-12-12,Windows Server 2019,192.168.16.64,,Active,311766.05,78.82
ASSET-003345,CT Scanners,Siemens,SIE-7657,JE-45570393,Eagle,Med/Surg,2023-11-01,2023-11-22,2030-07-04,Custom OS,192.168.70.96,,Retired,404729.86,34.87
ASSET-003346,CT Scanners,Hitachi,HIT-4549,LE-71866925,North Canyon,Neuro,2017-02-12,2017-04-10,2026-06-21,Embedded Linux,,b5:ce:e0:5e:6d:01,Active,164130.31,96.46
ASSET-003347,MRI,Philips,PHI-5597,AB-90509260,North Canyon,Lab,2022-05-25,2022-07-26,2030-09-16,,,,Active,276248.6,37.03
ASSET-003348,Microscopes,Zeiss,ZEI-8028,CQ-11015616,North Canyon,Recovery,2016-12-12,2017-02-07,2029-12-27,VxWorks,,0f:cb:7f:6e:ac:2d,Active,389427.05,64.21
ASSET-003349,Defibrillators,Cardiac Science,CAR-9996,CH-38449812,Boise,OB/GYN,2018-12-27,2019-02-21,2029-02-15,Windows 10,192.168.7.43,39:78:17:52:19:0b,Loaner,399171.5,58.64
ASSET-003350,Microscopes,Olympus,OLY-3218,NB-00882384,Twin Falls,Cardiac Care,2019-01-26,2019-01-30,2028-03-05,Windows 11,192.168.209.78,b4:cc:d5:0a:a3:1f,Active,405916.23,74.29
ASSET-003351,Cardiac Devices,LivaNova,LIV-3830,JJ-86723310,Wood River,Neuro,2019-07-07,2019-09-20,2032-06-13,Windows 11,192.168.1.242,,Active,466447.68,54.47
ASSET-003352,Defibrillators,Philips,PHI-2919,PC-81773655,Wood River,ICU (Intensive Care),2015-09-02,2015-10-08,2030-05-19,,192.168.23.254,90:42:be:23:5e:1d,Active,331639.34,71.87
ASSET-003353,Dehumidifiers,Honeywell,HON-3004,AP-92218822,Wood River,ICU (Intensive Care),2019-02-14,2019-04-21,2028-07-12,,,,Active,271239.15,65.88
ASSET-003354,Defibrillators,Medtronic,MED-3155,CH-31864176,Jerome,Med/Surg,2021-08-15,2021-08-30,2031-03-07,,,4c:e4:1f:eb:0c:fe,Active,158076.23,41.57
ASSET-003355,Cardiac Devices,Medtronic,MED-9098,HP-02364169,Fruitland,Emergency,2015-09-13,2015-10-13,2028-08-23,Custom OS,,60:3f:37:54:92:17,Active,360094.55,93.36
ASSET-003356,Dehumidifiers,Honeywell,HON-1095,PJ-83599167,Wood River,Cardiac Care,2018-07-14,2018-09-20,2029-01-10,VxWorks,192.168.84.109,74:25:c9:83:5a:3e,Active,220804.43,62.69
ASSET-003357,Infusion Pumps,Alaris,ALA-9928,FL-03239193,Fruitland,Emergency,2023-07-01,2023-08-28,2027-07-08,,,12:a4:f5:4e:c5:47,Active,378935.96,69.69
ASSET-003358,Defibrillators,Medtronic,MED-2431,HQ-28267126,Eagle,OR (Operating Room),2021-12-03,2022-02-24,2028-11-07,,192.168.151.175,71:13:00:f2:95:d2,Active,184941.03,37.79
ASSET-003359,Patient Monitors,Edan,EDA-2399,LF-94999522,Meridian,Cardiac Care,2020-01-13,2020-02-22,2027-04-10,,,a7:d0:4d:8d:06:34,Active,481109.51,83.71
ASSET-003360,MRI,Philips,PHI-7885,PT-96444843,Jerome,Cardiac Care,2023-01-23,2023-03-29,2029-11-05,,192.168.237.43,f6:96:61:48:72:d3,Retired,471481.36,36.24
ASSET-003361,Cardiac Devices,LivaNova,LIV-6422,BP-68111433,Wood River,Emergency,2016-02-25,2016-04-01,2031-07-17,,,1a:07:02:c7:f2:91,Active,467796.89,65.96
ASSET-003362,Anesthesia Machines,Aisys,AIS-2768,RC-40980587,Meridian,ICU (Intensive Care),2021-11-24,2021-12-13,2028-12-02,,192.168.101.72,02:76:e9:04:f5:13,Loaner,307751.81,41.74
ASSET-003363,MRI,GE Healthcare,GE -3639,SR-55590627,Meridian,OB/GYN,2022-12-12,2023-01-03,2028-11-02,VxWorks,192.168.160.232,,Active,148381.09,34.54
ASSET-003364,Lighting Systems,Surgical Care Industries,SUR-2982,JN-90259120,Nampa,OR (Operating Room),2023-07-21,2023-09-06,2029-10-19,Windows 10,192.168.78.55,9b:e3:2b:cd:6d:8e,Active,162647.52,38.45
ASSET-003365,Dehumidifiers,Honeywell,HON-3533,AG-37216266,Elmore,Cardiac Care,2015-04-14,2015-04-18,2026-03-16,VxWorks,192.168.2.154,,Active,27399.58,100.0
ASSET-003366,Anesthesia Machines,GE Healthcare,GE -7599,FL-23584180,Magic Valley,Emergency,2021-09-18,2021-11-16,2030-06-06,Windows 10,192.168.210.103,22:d8:dc:f6:15:63,Active,119034.45,44.58
ASSET-003367,Anesthesia Machines,Aestiva,AES-4167,GM-59997737,Wood River,Cardiac Care,2015-01-03,2015-03-05,2026-08-13,Windows 10,192.168.167.144,18:c0:0d:62:48:d1,Active,97689.2,100.0
ASSET-003368,Ultrasound,Sonosite,SON-6670,QJ-79551924,Eagle,Neuro,2023-10-14,2023-12-18,2027-04-09,Embedded Linux,192.168.252.73,a9:fb:da:d7:43:1e,Active,332205.73,60.31
ASSET-003369,Ventilators,Philips,PHI-7366,GS-11173670,Boise,Neuro,2018-06-06,2018-07-01,2030-10-20,,192.168.253.225,f5:f5:0f:46:fd:82,Loaner,448151.05,62.68
ASSET-003370,Vital Signs Monitors,GE Healthcare,GE -4976,FM-62567611,Meridian,Lab,2016-11-26,2017-02-09,2031-10-23,,192.168.16.112,b1:62:65:b4:35:e5,Retired,153200.42,63.77
ASSET-003371,Vital Signs Monitors,Mindray,MIN-8041,BM-84233008,Fruitland,ICU (Intensive Care),2019-08-04,2019-09-12,2028-11-20,QNX,,fa:56:88:02:a1:7d,Active,231304.8,51.46
ASSET-003372,Patient Monitors,GE Healthcare,GE -4303,TE-63082924,Eagle,ICU (Intensive Care),2019-04-10,2019-07-02,2027-05-18,,192.168.20.166,,Active,297603.65,87.16
ASSET-003373,Patient Monitors,GE Healthcare,GE -5206,SG-87321078,Meridian,Med/Surg,2015-05-28,2015-07-17,2027-01-21,VxWorks,192.168.10.20,,Active,161464.46,100.0
ASSET-003374,MRI,Siemens,SIE-7006,ME-12736548,Twin Falls,OR (Operating Room),2020-08-26,2020-08-30,2026-12-28,,192.168.64.44,,Active,456054.05,81.28
ASSET-003375,Defibrillators,Philips,PHI-7091,AT-20720197,North Canyon,Med/Surg,2021-12-19,2022-03-07,2026-05-19,Windows Server 2019,192.168.105.21,,Active,43099.75,66.83
ASSET-003376,Dehumidifiers,Carel,CAR-2769,RP-42874162,Meridian,Neuro,2020-07-08,2020-07-10,2032-07-22,,192.168.165.22,5c:3a:41:ea:82:d5,Active,424808.28,47.37
ASSET-003377,Infusion Pumps,Medtronic,MED-4116,LC-36512955,Twin Falls,Med/Surg,2016-02-19,2016-03-08,2027-04-20,,192.168.10.251,b1:48:4d:75:02:03,Active,138414.0,97.23
ASSET-003378,Vital Signs Monitors,Edan,EDA-6880,KT-00510819,McCall,OB/GYN,2021-02-14,2021-05-12,2030-10-21,QNX,192.168.11.178,40:20:57:0d:67:06,Active,91345.66,44.6
ASSET-003379,Microscopes,Leica,LEI-7255,GP-42262300,McCall,Med/Surg,2022-11-12,2023-01-03,2029-05-06,Windows Server 2019,192.168.252.40,a2:03:9b:93:d7:a4,Active,445707.52,34.5
ASSET-003380,Dehumidifiers,Condair,CON-9246,SH-07223502,Elmore,Emergency,2023-05-20,2023-08-14,2026-06-17,,,8f:94:39:c3:c2:09,Active,180591.2,64.41
ASSET-003381,Cardiac Devices,LivaNova,LIV-9359,GD-03424375,McCall,OR (Operating Room),2018-01-17,2018-02-13,2028-05-27,,192.168.212.209,21:a2:83:50:53:29,Loaner,403115.52,71.97
ASSET-003382,Patient Monitors,Edan,EDA-1070,NH-69280916,Fruitland,Cardiac Care,2023-08-10,2023-09-24,2027-11-28,Windows 10,192.168.172.245,94:18:4b:be:fc:61,Active,190615.59,49.57
ASSET-003383,Ultrasound,Canon,CAN-7704,AH-16696874,Fruitland,Cardiac Care,2021-05-20,2021-06-21,2027-02-13,VxWorks,192.168.131.124,fc:0e:25:ee:50:72,Retired,408065.22,75.0
ASSET-003384,Vital Signs Monitors,Edan,EDA-9447,ND-30454410,Boise,Med/Surg,2021-07-12,2021-08-22,2026-09-18,,,91:da:da:e6:69:0c,Active,445287.33,79.19
ASSET-003385,Patient Monitors,Spacelabs,SPA-6701,KK-66497008,Wood River,Med/Surg,2022-04-16,2022-05-10,2028-09-25,,192.168.184.244,89:8b:38:9f:41:bc,Active,119468.04,35.18
ASSET-003386,Microscopes,Olympus,OLY-1379,KE-58015176,Elmore,Neuro,2023-08-16,2023-09-26,2032-08-18,,192.168.96.152,,Active,149110.59,38.13
ASSET-003387,Vital Signs Monitors,Mindray,MIN-4774,DD-96280924,McCall,Recovery,2019-07-05,2019-07-12,2031-06-05,Windows Server 2019,192.168.167.98,4f:17:1a:28:ff:cd,Active,407127.13,59.46
ASSET-003388,Dialysis,Baxter,BAX-3041,PD-50509699,McCall,Med/Surg,2018-01-21,2018-03-19,2029-03-11,,,c4:c2:18:11:09:57,Active,386675.28,63.82
ASSET-003389,Dehumidifiers,Carel,CAR-6436,FE-31525523,Meridian,Imaging (Radiology),2020-06-18,2020-08-01,2030-06-05,QNX,192.168.212.177,1e:cd:92:6b:da:e0,Active,291116.91,47.57
ASSET-003390,Ultrasound,Sonosite,SON-3661,KH-80588377,Wood River,OR (Operating Room),2020-01-07,2020-01-21,2028-04-13,QNX,192.168.232.45,33:db:f5:ed:2a:0f,Active,200279.57,65.76
ASSET-003391,Cardiac Devices,Boston Scientific,BOS-1902,GM-54047625,Nampa,Neuro,2018-10-05,2018-12-04,2029-12-16,Custom OS,192.168.45.121,,Active,473145.74,55.0
ASSET-003392,Ultrasound,Philips,PHI-2578,SP-01115255,Nampa,OB/GYN,2022-10-22,2023-01-07,2027-12-14,,192.168.100.20,13:34:3e:31:0b:e3,Active,178970.66,53.63
ASSET-003393,CT Scanners,GE Healthcare,GE -3348,BH-27788826,Fruitland,ICU (Intensive Care),2015-06-22,2015-09-20,2027-09-23,Windows Server 2019,192.168.174.140,ed:8b:37:b1:c6:f3,Active,342540.74,91.85
ASSET-003394,Vital Signs Monitors,Mindray,MIN-8628,JM-17489030,Eagle,Imaging (Radiology),2020-12-24,2021-03-08,2029-04-07,Embedded Linux,,ef:31:fb:f4:2b:1c,Retired,324222.57,40.6
ASSET-003395,Ultrasound,GE Healthcare,GE -3035,CK-88097186,Jerome,OB/GYN,2019-08-09,2019-10-09,2026-10-19,VxWorks,192.168.65.137,d3:7e:52:8a:c7:e3,Active,208469.51,83.51
